key,ward,town,pop,households,市区町丁,総合計,凶悪犯計,凶悪犯強盗,凶悪犯その他,粗暴犯計,粗暴犯凶器準備集合,粗暴犯暴行,粗暴犯傷害,粗暴犯脅迫,粗暴犯恐喝,侵入窃盗計,侵入窃盗金庫破り,侵入窃盗学校荒し,侵入窃盗事務所荒し,侵入窃盗出店荒し,侵入窃盗空き巣,侵入窃盗忍込み,侵入窃盗居空き,侵入窃盗その他,非侵入窃盗計,非侵入窃盗自動車盗,非侵入窃盗オートバイ盗,非侵入窃盗自転車盗,非侵入窃盗車上ねらい,非侵入窃盗自販機ねらい,非侵入窃盗工事場ねらい,非侵入窃盗すり,非侵入窃盗ひったくり,非侵入窃盗置引き,非侵入窃盗万引き,非侵入窃盗その他,その他計,その他詐欺,その他占有離脱物横領,その他その他知能犯,その他賭博,その他その他刑法犯,ward_c,town_c,violent_r7,burglary_r7,serious_r7,daily,serious_r6,serious,serious_rate,daily_rate,serious_score,daily_score,safety_score,tk_coverage,tk_flood_ratio,tk_mean_depth,tk_max_depth,tk_mean_elev,tk_min_elev,tk_below_sea,tk_main_basin,tk_main_basin_ratio,tk_basins,ts_flood_ratio,ts_mean_depth,ts_max_depth,ts_exposure,liq_points,liq_small,liq_mid,liq_large,liq_pl,liq_pl_raw,liq_covered,liq_thin,liq_history,liq_1923,liq_2011,collapse_flow_ratio,collapse_erosion_ratio,collapse_ratio,collapse_zone,nat_ratio,nat_exposure,nat_main_rank,nat_main_label,nat_main_ratio,nat_max_rank,nat_max_label,nat_max_ratio,nat_main_river,nat_rivers,nat_covered,tokyo_exposure,flood_exposure,flood_source,flood_score,tide_exposure,tide_score,ground_score,elev_score,below_sea_flag,visitor_rate,business_area_flag
墨田区|八広1丁目,墨田区,八広一丁目,3380.0,1946.0,墨田区八広１丁目,14.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,墨田区,八広１丁目,3.0,0.0,3.0,9.0,4.0,7.0,0.9871289213927079,2.602374933650862,20.27388109552438,27.621910487641948,22.84569138276553,True,0.9366065879428216,0.432342402123424,1.0,-0.6962088253573648,-1.45,True,江東内部河川流域,1.0,江東内部河川流域,1.0,4.130463182897862,4.92,4.130463182897862,6.0,2.0,0.0,4.0,12.764628128304548,14.166666666666666,True,False,False,False,False,0.0,0.0,0.0,False,0.9999999999998774,3.93353893185386,3.0,3.0〜5.0m未満,0.9704617474904854,3.0,3.0〜5.0m未満,0.9704617474904854,荒川,荒川,True,0.4049347420758235,3.93353893185386,国管理河川,8.851035404141616,4.130463182897862,2.638610554442218,10.717100078802206,3.473613894455578,True,0.2958579881656805,False
墨田区|八広2丁目,墨田区,八広二丁目,4561.0,2497.0,墨田区八広２丁目,16.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,1.0,墨田区,八広２丁目,2.0,0.0,2.0,9.0,1.0,3.0,0.43556472651172834,2.0340581887469424,69.63927855711422,43.38677354709419,60.45090180360721,True,0.9914089347079038,0.6425129982668978,1.1,-1.093585337915235,-1.57,True,江東内部河川流域,1.0,江東内部河川流域,0.9981738122435939,4.527598901098901,5.04,4.519330655419796,2.0,0.0,1.0,1.0,11.779256256609095,15.0,True,True,False,False,False,0.0,0.0,0.0,False,0.9999999999996615,3.9999999999999996,3.0,3.0〜5.0m未満,0.9999999999996615,3.0,3.0〜5.0m未満,0.9999999999996615,荒川,荒川,True,0.6369931271477663,3.9999999999999996,国管理河川,6.813627254509018,4.519330655419796,1.169004676018704,18.5973207249803,1.903807615230461,True,0.0,False
墨田区|八広3丁目,墨田区,八広三丁目,3578.0,1943.0,墨田区八広３丁目,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,墨田区,八広３丁目,0.0,1.0,1.0,5.0,0.0,1.0,0.3153463247895635,1.581953715444791,86.23914495657982,61.18904475617902,77.47160988643955,True,0.9925871015567087,0.5971620612397311,0.98,-1.0141067457375834,-1.43,True,江東内部河川流域,1.0,江東内部河川流域,0.9991540936970369,4.450772501771793,4.91,4.447007565259489,2.0,1.0,1.0,0.0,7.404256256609094,6.25,True,True,False,False,False,0.0,0.0,0.0,False,0.9999999999998399,3.9999999999999982,3.0,3.0〜5.0m未満,0.9999999999998399,3.0,3.0〜5.0m未満,0.9999999999998399,荒川,荒川,True,0.5927353595255745,3.9999999999999982,国管理河川,7.114228456913827,4.447007565259489,1.4362057448229792,46.6903073286052,2.3046092184368736,True,0.0,False
墨田区|八広4丁目,墨田区,八広四丁目,4681.0,2588.0,墨田区八広４丁目,18.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,8.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,1.0,0.0,1.0,0.0,5.0,墨田区,八広４丁目,1.0,2.0,3.0,7.0,7.0,10.0,1.0239475625069154,1.6281022840690091,19.004676018704075,59.385437541750164,33.13794255177021,True,0.9889148191365228,0.5189026548672566,0.94,-0.8753383897316219,-1.44,True,江東内部河川流域,1.0,江東内部河川流域,1.0,4.310290016731734,4.87,4.310290016731734,8.0,1.0,4.0,3.0,11.961702502643638,12.8125,True,False,True,False,False,0.0,0.0,0.0,False,0.9999999999999558,4.0,3.0,3.0〜5.0m未満,0.9999999999999558,3.0,3.0〜5.0m未満,0.9999999999999558,荒川,荒川,True,0.5131505250875146,4.0,国管理河川,6.646626586506346,4.310290016731734,2.0374081496325984,15.839243498817968,3.006012024048096,True,0.0,False
墨田区|八広5丁目,墨田区,八広五丁目,2972.0,1677.0,墨田区八広５丁目,12.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,墨田区,八広５丁目,2.0,1.0,3.0,5.0,2.0,5.0,0.8432363278499225,1.8329846112387929,26.553106212424847,50.40080160320641,34.899799599198396,True,0.700524246395806,0.2805706267539757,0.73,-0.38400393184796855,-1.07,True,江東内部河川流域,1.0,江東内部河川流域,1.0,3.8176518472135252,4.57,3.8176518472135252,6.0,4.0,2.0,0.0,5.8896281283045475,5.0,True,False,False,False,False,0.0363591481198173,0.0,0.0363591481198173,True,1.0,3.8305820088020566,3.0,3.0〜5.0m未満,0.9247031150232513,3.0,3.0〜5.0m未満,0.9247031150232513,荒川,荒川,True,0.1965465268676278,3.8305820088020566,国管理河川,10.420841683366733,3.8176518472135252,4.108216432865731,66.62726556343578,5.210420841683367,True,0.6729475100942126,False
墨田区|八広6丁目,墨田区,八広六丁目,4196.0,2293.0,墨田区八広６丁目,20.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,6.0,2.0,0.0,0.0,0.0,4.0,墨田区,八広６丁目,1.0,0.0,1.0,10.0,3.0,4.0,0.558173278134658,2.3795792973390943,51.40280561122245,32.598530394121575,44.82130928523714,True,0.8577680525164114,0.3081313775510204,0.82,-0.0987855579868709,-1.94,True,江東内部河川流域,1.0,江東内部河川流域,0.5418599083831022,3.8235067637877216,5.54,2.071805024728186,6.0,2.0,2.0,2.0,10.264628128304548,10.833333333333334,True,False,True,False,False,0.3670201315770314,0.0,0.3670201315770314,True,0.5787144536914343,2.423068091646281,3.0,3.0〜5.0m未満,0.5477972317254908,4.0,5.0〜10.0m未満,0.030917221965943428,荒川,荒川,True,0.26430525164113783,2.423068091646281,国管理河川,18.97127588510354,2.071805024728186,15.230460921843688,22.77383766745469,7.247828991315965,True,0.47664442326024786,False
墨田区|立花1丁目,墨田区,立花一丁目,6087.0,3576.0,墨田区立花１丁目,19.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,3.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2.0,1.0,0.0,0.0,2.0,墨田区,立花１丁目,3.0,0.0,3.0,10.0,4.0,7.0,0.6193505709621274,1.7306257334697668,44.88977955911824,54.97661990647963,48.420173680694724,True,0.6282118510749869,0.5273455759599333,1.61,-0.5792920818038805,-2.41,True,江東内部河川流域,1.0,江東内部河川流域,0.9513690652051054,4.003808808808809,5.87,3.809099843696403,10.0,7.0,3.0,0.0,5.384752085536365,4.75,True,False,False,False,False,0.0,0.0,0.0,False,1.0,3.022237781823356,3.0,3.0〜5.0m未満,0.5654390130068917,3.0,3.0〜5.0m未満,0.5654390130068917,荒川,荒川,True,0.3312847404299948,3.022237781823356,国管理河川,15.33066132264529,3.809099843696403,4.141616566466266,77.62017336485421,4.1750167000668,True,0.1642845408247084,False
墨田区|立花2丁目,墨田区,立花二丁目,1686.0,934.0,墨田区立花２丁目,6.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,2.0,墨田区,立花２丁目,1.0,0.0,1.0,1.0,1.0,2.0,0.6981594612108379,1.1844092792866874,36.77354709418837,79.32531730126921,51.666666666666664,True,0.8566308243727598,0.5893723849372384,1.43,-1.1566547192353644,-2.26,True,江東内部河川流域,1.0,江東内部河川流域,1.0,4.58799771167048,5.73,4.58799771167048,,,,,,,False,False,False,False,False,0.0,0.0,0.0,False,0.9999999999997199,3.87330695985585,3.0,3.0〜5.0m未満,0.9436919821578906,3.0,3.0〜5.0m未満,0.9436919821578906,荒川,荒川,True,0.5048745519713261,3.87330695985585,国管理河川,9.85303941215765,4.58799771167048,1.0354041416165665,,1.7034068136272544,True,0.5931198102016608,False
墨田区|立花3丁目,墨田区,立花三丁目,3045.0,1734.0,墨田区立花３丁目,11.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,1.0,墨田区,立花３丁目,2.0,0.0,2.0,5.0,2.0,4.0,0.7102819117841425,1.7986035649659313,35.97194388777555,51.670006680026724,41.46626586506346,True,0.910828025477707,1.2405094905094904,2.24,-1.71950864422202,-2.67,True,江東内部河川流域,1.0,江東内部河川流域,0.8743508385070795,5.059613003095976,6.09,4.423876871778289,5.0,3.0,1.0,1.0,7.802432146633769,7.5,True,False,True,False,False,0.0,0.0,0.0,False,0.9999999955357332,3.7802923107479494,3.0,3.0〜5.0m未満,0.8327550931284106,4.0,5.0〜10.0m未満,0.027233627655859922,荒川,荒川,True,1.1298908098271154,3.7802923107479494,国管理河川,11.022044088176353,4.423876871778289,1.6032064128256511,41.88337273443656,0.6012024048096193,True,0.0,False
墨田区|立花4丁目,墨田区,立花四丁目,3792.0,2027.0,墨田区立花４丁目,11.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,1.0,0.0,0.0,1.0,墨田区,立花４丁目,2.0,0.0,2.0,3.0,2.0,4.0,0.6035397527910531,1.0778398196910337,46.359385437541754,83.73413493653975,59.44054776219105,True,0.9578827546955037,1.0054545454545456,1.71,-1.750819578827547,-2.58,True,江東内部河川流域,1.0,江東内部河川流域,1.0,5.18633695652174,6.01,5.18633695652174,8.0,2.0,4.0,2.0,10.211702502643638,10.625,True,False,False,False,False,0.0,0.0,0.0,False,0.9999999999999938,4.011596169775498,3.0,3.0〜5.0m未満,0.9930923920168369,4.0,5.0〜10.0m未満,0.004719702215235008,荒川,荒川,True,0.9631075697211157,4.011596169775498,国管理河川,5.076820307281229,5.18633695652174,0.36740146960587844,23.01024428684003,0.5678022712090849,True,0.26371308016877637,False
墨田区|立花5丁目,墨田区,立花五丁目,4494.0,2110.0,墨田区立花５丁目,12.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,2.0,墨田区,立花５丁目,1.0,0.0,1.0,6.0,3.0,4.0,0.5288510210028795,1.4978725845203482,55.51102204408818,65.03006012024048,58.842685370741485,True,0.8010496183206107,0.5047409172126266,1.04,-0.8321564885496183,-1.68,True,江東内部河川流域,1.0,江東内部河川流域,0.9705632150692148,4.273339301700984,5.12,4.147545931740541,5.0,0.0,3.0,2.0,12.445289289490912,14.0,True,False,False,False,False,0.0,0.0,0.0,False,0.994339762883632,3.5390257961442346,3.0,3.0〜5.0m未満,0.7995249827100974,3.0,3.0〜5.0m未満,0.7995249827100974,荒川,荒川,True,0.4043225190839695,3.5390257961442346,国管理河川,12.59185036740147,4.147545931740541,2.571810287241149,11.662726556343578,3.2064128256513023,True,0.22251891410769914,False
墨田区|立花6丁目,墨田区,立花六丁目,2360.0,1240.0,墨田区立花６丁目,6.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,墨田区,立花６丁目,2.0,0.0,2.0,2.0,2.0,4.0,0.847774928413312,1.247307289422515,26.285905143620575,76.95390781563127,44.01970607882431,True,0.7906574394463668,0.8693873085339169,1.61,-1.2925432525951557,-2.51,True,江東内部河川流域,1.0,江東内部河川流域,0.893292282211569,4.579936350777935,5.97,4.091221795170147,,,,,,,False,False,False,False,False,0.0,0.0,0.0,False,1.0,3.4782655293328215,3.0,3.0〜5.0m未満,0.7651873212324609,4.0,5.0〜10.0m未満,0.0011467902855843814,荒川,荒川,True,0.6873875432525952,3.4782655293328215,国管理河川,12.825651302605209,4.091221795170147,2.738810955243821,,1.3360053440213762,True,0.0,False
